game_id,period,time_remaining,team,player,play,away_score,home_score
2026-01-08_washington_michigan_st,1,00:40,Michigan St.,"HOWELL,AVERY","SUB OUT by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,1,00:40,Michigan St.,"BROWN,TEAGAN","SUB IN by BROWN,TEAGAN",,
2026-01-08_washington_michigan_st,1,00:22,Washington,"VANSLOOTEN,GRACE","MISS JUMPER by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,1,00:19,Washington,"WOODARD,JULIANN","REBOUND OFF by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,1,00:17,Washington,"SHUMATE,EMMA","MISS 3PTR by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,1,00:14,Michigan St.,"HARVEY,SIENNA","REBOUND DEF by HARVEY,SIENNA",,
2026-01-08_washington_michigan_st,1,00:02,Michigan St.,"STINES,HANNAH","MISS 3PTR by STINES,HANNAH",,
2026-01-08_washington_michigan_st,1,00:00,Michigan St.,TEAM,REBOUND DEADB by TEAM,,
2026-01-08_washington_michigan_st,2,10:00,Michigan St.,"COPPINGER,DEVIN","SUB OUT by COPPINGER,DEVIN",,
2026-01-08_washington_michigan_st,2,10:00,Michigan St.,"BROWN,TEAGAN","SUB OUT by BROWN,TEAGAN",,
2026-01-08_washington_michigan_st,2,10:00,Michigan St.,"SELLERS,SAYVIA","SUB IN by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,2,10:00,Michigan St.,"LADINE,ELLE","SUB IN by LADINE,ELLE",,
2026-01-08_washington_michigan_st,2,10:00,Washington,"SAMBOLIC,SARA","SUB OUT by SAMBOLIC,SARA",,
2026-01-08_washington_michigan_st,2,10:00,Washington,"BLAIR,KENNEDY","SUB IN by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,2,09:48,Michigan St.,"LADINE,ELLE","TURNOVER by LADINE,ELLE",,
2026-01-08_washington_michigan_st,2,09:48,Washington,"VANSLOOTEN,GRACE","STEAL by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,2,09:42,Washington,"VANSLOOTEN,GRACE","MISS JUMPER by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,2,09:39,Washington,"WOODARD,JULIANN","REBOUND OFF by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,2,09:38,Washington,"WOODARD,JULIANN","TURNOVER by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,2,09:38,Michigan St.,"LADINE,ELLE","STEAL by LADINE,ELLE",,
2026-01-08_washington_michigan_st,2,09:38,Washington,"WOODARD,JULIANN","FOUL by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,2,09:28,Michigan St.,"LADINE,ELLE","TURNOVER by LADINE,ELLE",,
2026-01-08_washington_michigan_st,2,09:28,Washington,"WOODARD,JULIANN","SUB OUT by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,2,09:28,Washington,"DYKSTRA,MARAH","SUB IN by DYKSTRA,MARAH",,
2026-01-08_washington_michigan_st,2,09:28,Michigan St.,"HARVEY,SIENNA","SUB OUT by HARVEY,SIENNA",,
2026-01-08_washington_michigan_st,2,09:28,Michigan St.,"HOWELL,AVERY","SUB IN by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,2,09:28,Washington,"SHUMATE,EMMA","SUB OUT by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,2,09:28,Washington,"JONES,RASHUNDA","SUB IN by JONES,RASHUNDA",,
2026-01-08_washington_michigan_st,2,09:08,Washington,"VANSLOOTEN,GRACE","MISS JUMPER by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,2,09:05,Michigan St.,"LADINE,ELLE","REBOUND DEF by LADINE,ELLE",,
2026-01-08_washington_michigan_st,2,08:45,Michigan St.,"SELLERS,SAYVIA","MISS 3PTR by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,2,08:42,Washington,"DYKSTRA,MARAH","REBOUND DEF by DYKSTRA,MARAH",,
2026-01-08_washington_michigan_st,2,08:40,Washington,"JONES,RASHUNDA","GOOD JUMPER by JONES,RASHUNDA",16,25
2026-01-08_washington_michigan_st,2,08:39,Michigan St.,"HOWELL,AVERY","FOUL by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,2,08:39,Michigan St.,"HOWELL,AVERY","SUB OUT by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,2,08:39,Michigan St.,"COPPINGER,DEVIN","SUB IN by COPPINGER,DEVIN",,
2026-01-08_washington_michigan_st,2,08:38,Washington,"JONES,RASHUNDA","MISS FT by JONES,RASHUNDA",,
2026-01-08_washington_michigan_st,2,08:37,Michigan St.,"COPPINGER,DEVIN","REBOUND DEF by COPPINGER,DEVIN",,
2026-01-08_washington_michigan_st,2,08:21,Michigan St.,"STINES,HANNAH","MISS LAYUP by STINES,HANNAH",,
2026-01-08_washington_michigan_st,2,08:17,Washington,"BLAIR,KENNEDY","REBOUND DEF by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,2,08:14,Washington,"DYKSTRA,MARAH","GOOD 3PTR by DYKSTRA,MARAH",19,25
2026-01-08_washington_michigan_st,2,08:14,Washington,"BLAIR,KENNEDY","ASSIST by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,2,08:06,Michigan St.,"STINES,HANNAH","SUB OUT by STINES,HANNAH",,
2026-01-08_washington_michigan_st,2,08:06,Michigan St.,"HARVEY,SIENNA","SUB IN by HARVEY,SIENNA",,
2026-01-08_washington_michigan_st,2,07:58,Michigan St.,"LADINE,ELLE","GOOD 3PTR by LADINE,ELLE",19,28
2026-01-08_washington_michigan_st,2,07:58,Michigan St.,"MCGAUGHY,BRYNN","ASSIST by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,2,07:40,Washington,"VANSLOOTEN,GRACE","GOOD JUMPER by VANSLOOTEN,GRACE",21,28
2026-01-08_washington_michigan_st,2,07:09,Michigan St.,"MCGAUGHY,BRYNN","GOOD JUMPER by MCGAUGHY,BRYNN",21,30
2026-01-08_washington_michigan_st,2,06:58,Washington,"BLAIR,KENNEDY","GOOD JUMPER by BLAIR,KENNEDY",23,30
2026-01-08_washington_michigan_st,2,06:48,Michigan St.,"SELLERS,SAYVIA","GOOD JUMPER by SELLERS,SAYVIA",23,32
2026-01-08_washington_michigan_st,2,06:48,Michigan St.,"COPPINGER,DEVIN","ASSIST by COPPINGER,DEVIN",,
2026-01-08_washington_michigan_st,2,06:31,Washington,"DYKSTRA,MARAH","TURNOVER by DYKSTRA,MARAH",,
2026-01-08_washington_michigan_st,2,06:31,Michigan St.,"MCGAUGHY,BRYNN","SUB OUT by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,2,06:31,Michigan St.,"GRABOVSKAIA,YULIA","SUB IN by GRABOVSKAIA,YULIA",,
2026-01-08_washington_michigan_st,2,06:31,Washington,"BLAIR,KENNEDY","SUB OUT by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,2,06:31,Washington,"SOTELO,INES","SUB IN by SOTELO,INES",,
2026-01-08_washington_michigan_st,2,06:14,Michigan St.,"COPPINGER,DEVIN","TURNOVER by COPPINGER,DEVIN",,
2026-01-08_washington_michigan_st,2,06:14,Washington,"BROWN,JALYN","STEAL by BROWN,JALYN",,
2026-01-08_washington_michigan_st,2,06:11,Michigan St.,"HARVEY,SIENNA","FOUL by HARVEY,SIENNA",,
2026-01-08_washington_michigan_st,2,06:11,Washington,"BROWN,JALYN","MISS FT by BROWN,JALYN",,
2026-01-08_washington_michigan_st,2,06:11,Washington,TEAM,REBOUND DEADB by TEAM,,
2026-01-08_washington_michigan_st,2,06:11,Washington,"BROWN,JALYN","GOOD FT by BROWN,JALYN",24,32
2026-01-08_washington_michigan_st,2,06:02,Michigan St.,"HARVEY,SIENNA","GOOD LAYUP by HARVEY,SIENNA",24,34
2026-01-08_washington_michigan_st,2,05:51,Washington,"JONES,RASHUNDA","MISS JUMPER by JONES,RASHUNDA",,
2026-01-08_washington_michigan_st,2,05:51,Michigan St.,"GRABOVSKAIA,YULIA","BLOCK by GRABOVSKAIA,YULIA",,
2026-01-08_washington_michigan_st,2,05:48,Michigan St.,"HARVEY,SIENNA","REBOUND DEF by HARVEY,SIENNA",,
2026-01-08_washington_michigan_st,2,05:29,Michigan St.,"LADINE,ELLE","MISS JUMPER by LADINE,ELLE",,
2026-01-08_washington_michigan_st,2,05:26,Washington,"DYKSTRA,MARAH","REBOUND DEF by DYKSTRA,MARAH",,
2026-01-08_washington_michigan_st,2,05:17,Washington,"BROWN,JALYN","GOOD LAYUP by BROWN,JALYN",26,34
2026-01-08_washington_michigan_st,2,05:05,Michigan St.,"SELLERS,SAYVIA","MISS LAYUP by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,2,05:05,Washington,"VANSLOOTEN,GRACE","BLOCK by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,2,05:05,Michigan St.,TEAM,REBOUND OFF by TEAM,,
2026-01-08_washington_michigan_st,2,05:05,Michigan St.,"GRABOVSKAIA,YULIA","SUB OUT by GRABOVSKAIA,YULIA",,
2026-01-08_washington_michigan_st,2,05:05,Michigan St.,"MCGAUGHY,BRYNN","SUB IN by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,2,05:05,Washington,"VANSLOOTEN,GRACE","SUB OUT by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,2,05:05,Washington,"SHUMATE,EMMA","SUB IN by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,2,04:58,Washington,"SOTELO,INES","FOUL by SOTELO,INES",,
2026-01-08_washington_michigan_st,2,04:58,Washington,,Timeout,,
2026-01-08_washington_michigan_st,2,04:44,Michigan St.,"MCGAUGHY,BRYNN","GOOD LAYUP by MCGAUGHY,BRYNN",26,36
2026-01-08_washington_michigan_st,2,04:44,Michigan St.,"SELLERS,SAYVIA","ASSIST by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,2,04:32,Washington,"SHUMATE,EMMA","MISS 3PTR by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,2,04:28,Michigan St.,"MCGAUGHY,BRYNN","REBOUND DEF by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,2,04:24,Michigan St.,"MCGAUGHY,BRYNN","TURNOVER by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,2,04:24,Washington,"DYKSTRA,MARAH","SUB OUT by DYKSTRA,MARAH",,
2026-01-08_washington_michigan_st,2,04:24,Washington,"VANSLOOTEN,GRACE","SUB IN by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,2,04:24,Michigan St.,"LADINE,ELLE","SUB OUT by LADINE,ELLE",,
